Name,Age,Gender,Phone,EmailID,City,Location,Grade_10,Grade_12,JEE,CUET,Stream
Sai Johnson,19,Male,911964599682,saijohnson@gmail.com,Bengaluru,Rural,60.3,95.58,236.07,751.7,B.Tech CS
Arjun Brown,20,Female,915215724895,arjunbrown@gmail.com,New York,Rural,71.11,77.22531926406927,281.46,763.4,B.Tech CS
Shaurya Khan,17,Male,918840167769,shauryakhan@gmail.com,Bengaluru,Semi-Urban,84.43,53.26,273.01,449.21,B.Tech Civil
Vihaan Miller,20,Female,910411678815,vihaanmiller@gmail.com,Dubai,Rural,81.88,93.21,179.95,,B.Tech ECE
Sai Wilson,17,Male,916621038862,saiwilson@gmail.com,Dubai,Urban,58.87,95.08,,,B.Tech CS
Vihaan Taylor,18,Female,915470500574,vihaantaylor@gmail.com,New York,Semi-Urban,76.33,52.18,,524.96,B.Sc Data Science
Ishaan Wilson,18,Male,912502109859,ishaanwilson@gmail.com,London,Semi-Urban,77.56548998375746,75.56,139.39,653.97,B.Tech Civil
Vihaan Khan,20,Male,916057662702,vihaankhan@gmail.com,Sydney,Semi-Urban,66.6,55.02,269.01,439.88,B.Tech Civil
Shaurya Johnson,18,Male,917287826500,shauryajohnson@gmail.com,Bengaluru,Urban,68.65,77.22531926406927,297.18,782.48,B.Tech CS
Sai Johnson,17,Male,916383647224,saijohnson@gmail.com,New York,Rural,88.56,95.82,119.46,415.35,B.Sc IT
Krishna Taylor,18,Male,910804533430,krishnataylor@gmail.com,Ahmedabad,Semi-Urban,90.89,58.7,257.51,739.46,B.Tech CS
Aditya Johnson,19,Female,914203625863,adityajohnson@gmail.com,Delhi,Rural,100.0,82.59,100.0,100.0,BCA
Vihaan Singh,17,Female,918607177545,vihaansingh@gmail.com,New York,Semi-Urban,69.78,77.22531926406927,209.72,517.91,B.Tech Civil
Vivaan Miller,20,Female,912404365451,vivaanmiller@gmail.com,Dubai,Urban,85.62,92.21,110.06,656.23,B.Tech Civil
Vivaan Khan,18,Male,919295019761,vivaankhan@gmail.com,Mumbai,Urban,72.72999999999999,68.12,100.0,100.0,BCA
Vihaan Patel,20,Female,912346554612,vihaanpatel@gmail.com,Mumbai,Urban,88.04,77.08,247.49,564.54,B.Tech ECE
Ishaan Khan,17,Male,911737339701,ishaankhan@gmail.com,Mumbai,Urban,83.03,97.2,213.14,565.49,B.Tech Mechanical
Ishaan Brown,17,Female,917447309811,ishaanbrown@gmail.com,Mumbai,Semi-Urban,72.24,82.01,211.26,722.89,B.Tech CS
Arjun Miller,17,Female,917175322799,arjunmiller@gmail.com,Toronto,Semi-Urban,89.62,88.42,132.64,794.01,B.Tech CS
Arjun Taylor,20,Male,918081063551,arjuntaylor@gmail.com,London,Urban,77.56548998375746,63.64,163.68,548.78,B.Tech Civil
Ishaan Brown,19,Female,915769453536,ishaanbrown@gmail.com,New York,Semi-Urban,,100.0,100.0,100.0,BCA
Krishna Verma,17,Female,919408215454,krishnaverma@gmail.com,Ahmedabad,Rural,51.4,57.14,256.76,568.7,B.Tech Mechanical
Atharv Taylor,20,Female,914411284842,atharvtaylor@gmail.com,Delhi,Rural,98.64,58.77,257.87,501.4,B.Tech Mechanical
Krishna Miller,20,Female,919596560033,krishnamiller@gmail.com,Toronto,Semi-Urban,65.74,59.12,268.6,694.71,B.Tech CS
Ishaan Taylor,18,Female,913728051292,ishaantaylor@gmail.com,Toronto,Rural,88.52,61.9,188.04,655.03,B.Tech Mechanical
Ishaan Singh,18,Male,912096986007,ishaansingh@gmail.com,Toronto,Semi-Urban,66.4,96.28,172.36,714.47,B.Tech ECE
Ishaan Singh,19,Female,916193788663,ishaansingh@gmail.com,London,Semi-Urban,64.78,88.14,,487.7,B.Sc Data Science
Ishaan Singh,18,Male,912096986007,ishaansingh@gmail.com,Toronto,Semi-Urban,66.4,96.28,172.36,714.47,B.Tech ECE
Aditya Miller,19,Male,918779417634,adityamiller@gmail.com,Bengaluru,Rural,92.39,52.95,149.32,653.23,B.Tech Civil
Vihaan Wilson,19,Female,915844198665,vihaanwilson@gmail.com,Bengaluru,Rural,52.1,97.77,115.81,769.6,B.Tech Mechanical
Aditya Johnson,19,Female,916608470681,adityajohnson@gmail.com,Mumbai,Urban,79.48,60.44,216.55,402.86,B.Sc Data Science
Shaurya Miller,18,Female,916625760138,shauryamiller@gmail.com,Mumbai,Semi-Urban,,79.57,182.34701123021952,,BCA
Krishna Sharma,20,Male,915969664160,krishnasharma@gmail.com,New York,Urban,90.07,80.91,266.41,767.91,B.Tech CS
Vihaan Sharma,17,Male,915343646693,vihaansharma@gmail.com,Toronto,Urban,71.31,81.73,283.14,519.38,B.Tech Mechanical
Krishna Johnson,19,Male,915913582637,krishnajohnson@gmail.com,Ahmedabad,Rural,76.25,76.16,240.02,760.51,B.Tech CS
Vivaan Singh,17,Female,919260054286,vivaansingh@gmail.com,Hyderabad,Rural,99.44,64.04,263.35,601.43,B.Tech ECE
Krishna Miller,20,Female,915707130802,krishnamiller@gmail.com,Bengaluru,Rural,98.7,77.22531926406927,100.0,100.0,BCA
Vihaan Sharma,20,Male,915647837031,vihaansharma@gmail.com,Toronto,Rural,65.34,61.41,103.19,474.28,B.Sc IT
Vivaan Khan,18,Male,910344956071,vivaankhan@gmail.com,Ahmedabad,Semi-Urban,73.74,69.54,111.61,686.22,B.Tech Civil
Vivaan Johnson,18,Male,919793164772,vivaanjohnson@gmail.com,New York,Urban,59.08,78.76,190.81,712.45,B.Tech ECE
Aarav Johnson,17,Male,914823571558,aaravjohnson@gmail.com,London,Semi-Urban,82.84,69.64,215.4,699.93,B.Tech ECE
Vivaan Wilson,18,Male,912199898237,vivaanwilson@gmail.com,Ahmedabad,Urban,77.56548998375746,59.83,158.62,695.37,B.Tech Mechanical
Ishaan Johnson,20,Male,914144877747,ishaanjohnson@gmail.com,London,Urban,79.21,82.95,115.47,787.58,B.Tech ECE
Aarav Khan,17,Female,915880971861,aaravkhan@gmail.com,Ahmedabad,Urban,69.9,77.22531926406927,100.0,100.0,BCA
Arjun Singh,17,Female,910210916269,arjunsingh@gmail.com,London,Semi-Urban,,,132.51,710.26,B.Tech ECE
Arjun Sharma,19,Male,917493834162,arjunsharma@gmail.com,Hyderabad,Urban,66.02,87.71,201.97,510.52,B.Tech Civil
Vivaan Patel,19,Female,918247080709,vivaanpatel@gmail.com,Bengaluru,Rural,75.87,89.32,189.72,692.9,B.Tech ECE
Vivaan Khan,20,Female,911765920594,vivaankhan@gmail.com,Sydney,Semi-Urban,60.2,,280.21,796.03,B.Tech CS
Sai Verma,20,Male,914447232290,saiverma@gmail.com,Hyderabad,Urban,,,100.0,100.0,BCA
Krishna Miller,17,Female,912831197789,krishnamiller@gmail.com,New York,Urban,71.31,67.91,282.83,772.49,B.Tech CS
Ishaan Johnson,19,Male,917117185691,ishaanjohnson@gmail.com,Delhi,Semi-Urban,85.97,92.1,209.3,600.49,B.Tech ECE
Sai Johnson,19,Male,911964599682,saijohnson@gmail.com,Bengaluru,Rural,60.3,95.58,236.07,751.7,B.Tech CS
Arjun Sharma,17,Female,916454976834,arjunsharma@gmail.com,Sydney,Rural,86.55,77.22531926406927,100.0,100.0,BCA
Aarav Verma,19,Male,910173167156,aaravverma@gmail.com,Mumbai,Rural,76.33,78.6,174.68,471.7,B.Tech Civil
Ishaan Taylor,17,Female,915183479230,ishaantaylor@gmail.com,New York,Rural,90.64,77.89,152.02,696.06,B.Tech Mechanical
Atharv Sharma,20,Female,918194565977,atharvsharma@gmail.com,Hyderabad,Semi-Urban,69.25,88.99,106.26,480.23,B.Sc Data Science
Alexander Brown,20,Female,656609685075,alexanderbrown@gmail.com,Hyderabad,Semi-Urban,77.56548998375746,58.72,139.03,621.05,B.Tech Civil
Vivaan Verma,19,Female,917717077576,vivaanverma@gmail.com,London,Urban,99.32,73.09,111.67,724.66,B.Tech Mechanical
Krishna Taylor,18,Female,917947189166,krishnataylor@gmail.com,Sydney,Urban,74.51,93.98,,,B.Tech ECE
Vivaan Singh,19,Female,912530302413,vivaansingh@gmail.com,Mumbai,Urban,55.78,60.55,156.34,520.95,B.Sc Data Science
Vivaan Sharma,17,Male,914508146470,vivaansharma@gmail.com,Bengaluru,Urban,70.92,71.98,122.47,423.7,B.Sc IT
Atharv Miller,19,Female,919559227764,atharvmiller@gmail.com,Delhi,Rural,80.39,51.32,285.46,787.5,B.Tech CS
Arjun Sharma,18,Male,916565293675,arjunsharma@gmail.com,London,Urban,,88.08,168.21,729.98,B.Tech ECE
Aditya Taylor,19,Female,918398037037,adityataylor@gmail.com,Toronto,Urban,87.58,57.67,173.64,620.71,B.Tech Civil
Ishaan Wilson,18,Female,916041348208,ishaanwilson@gmail.com,Ahmedabad,Semi-Urban,90.65,54.78,140.03,611.15,B.Tech Civil
Aditya Miller,18,Female,914654763169,adityamiller@gmail.com,Delhi,Rural,68.53,94.97,290.43,421.42,B.Tech Mechanical
Shaurya Wilson,18,Male,914270866882,shauryawilson@gmail.com,London,Urban,62.75,66.51,115.81,579.91,B.Sc Data Science
Krishna Brown,19,Female,919347430342,krishnabrown@gmail.com,London,Rural,77.36,88.82,262.45,720.53,B.Tech CS
Sai Verma,20,Male,912368516048,saiverma@gmail.com,Delhi,Rural,68.43,87.45,152.43,552.41,B.Tech Civil
Vivaan Miller,19,Female,911742518697,vivaanmiller@gmail.com,London,Semi-Urban,95.72,77.22531926406927,266.57,710.76,B.Tech CS
Vihaan Wilson,19,Male,910489646528,vihaanwilson@gmail.com,Mumbai,Semi-Urban,77.56548998375746,73.49000000000001,100.0,100.0,BCA
Krishna Patel,18,Male,912501825624,krishnapatel@gmail.com,Toronto,Urban,77.62,,252.1,,B.Tech CS
Ishaan Singh,20,Female,915732514156,ishaansingh@gmail.com,Delhi,Rural,96.46,93.23,135.51,490.45,B.Sc Data Science
Arjun Wilson,17,Female,916756650518,arjunwilson@gmail.com,Sydney,Rural,100.0,100.0,182.34701123021952,100.0,BCA
Aarav Wilson,17,Male,916616903670,aaravwilson@gmail.com,New York,Semi-Urban,52.93,55.92,192.02,735.94,B.Tech Mechanical
Vivaan Taylor,19,Male,915411659726,vivaantaylor@gmail.com,Hyderabad,Rural,92.8,74.27,167.4,575.11,B.Tech Civil
Atharv Brown,18,Male,914597736609,atharvbrown@gmail.com,Sydney,Semi-Urban,96.79,79.03,221.3,437.25,B.Tech Civil
Atharv Khan,18,Female,913751866940,atharvkhan@gmail.com,Sydney,Rural,77.56548998375746,88.1,100.0,100.0,BCA
Aarav Singh,19,Male,916436444329,aaravsingh@gmail.com,London,Semi-Urban,54.65,57.37,238.0,792.23,B.Tech CS
Vivaan Miller,20,Male,915054459318,vivaanmiller@gmail.com,Delhi,Urban,98.62,57.43,158.46,577.3,B.Tech Civil
Atharv Taylor,19,Female,919887749242,atharvtaylor@gmail.com,Ahmedabad,Urban,91.21,,100.0,100.0,BCA
Shaurya Verma,19,Female,918345273466,shauryaverma@gmail.com,London,Rural,54.12,51.19,120.86,624.5,B.Sc Data Science
Arjun Taylor,18,Female,911111615280,arjuntaylor@gmail.com,Dubai,Semi-Urban,97.08,94.5,100.0,100.0,BCA
Aarav Brown,17,Male,914886084907,aaravbrown@gmail.com,Dubai,Urban,88.7,96.62,182.34701123021952,100.0,BCA
Sai Brown,17,Female,914205955657,saibrown@gmail.com,Ahmedabad,Semi-Urban,65.56,,100.0,,BCA
Vihaan Sharma,20,Male,910025895529,vihaansharma@gmail.com,London,Urban,87.79,84.57,100.0,100.0,BCA
Krishna Singh,17,Female,910805310033,krishnasingh@gmail.com,Mumbai,Semi-Urban,75.62,77.22531926406927,100.0,100.0,BCA
Krishna Miller,20,Female,917554606834,krishnamiller@gmail.com,Bengaluru,,62.07,78.72,100.0,100.0,BCA
Ishaan Brown,18,Female,911973102983,ishaanbrown@gmail.com,Hyderabad,,69.17,85.29,100.0,100.0,BCA
Ishaan Sharma,18,Female,910888842359,ishaansharma@gmail.com,Ahmedabad,Urban,56.76,90.04,182.36,616.26,B.Tech Mechanical
Aarav Singh,20,Male,915265461033,aaravsingh@gmail.com,Dubai,Semi-Urban,61.82,75.43,200.88,779.74,B.Tech ECE
Arjun Singh,17,Male,918510154272,arjunsingh@gmail.com,New York,,,,100.0,100.0,BCA
Sai Brown,17,Female,914205955657,saibrown@gmail.com,Ahmedabad,Semi-Urban,65.56,,100.0,,BCA
Atharv Miller,19,Male,915359530196,atharvmiller@gmail.com,New York,Rural,78.46,74.4,167.35,785.24,B.Tech CS
Arjun Patel,20,Female,919366357967,arjunpatel@gmail.com,Delhi,Semi-Urban,63.4,98.16,139.2,707.06,B.Tech Mechanical
Arjun Singh,19,Male,910067762550,arjunsingh@gmail.com,Hyderabad,Urban,97.64,100.0,182.34701123021952,100.0,BCA
Shaurya Johnson,19,Male,917664207632,shauryajohnson@gmail.com,Toronto,Urban,92.98,85.32,288.62,483.3,B.Tech ECE
Sai Taylor,17,Male,918177512395,saitaylor@gmail.com,Dubai,Rural,75.33,67.07,151.92,550.55,B.Sc Data Science
Ishaan Sharma,19,Male,917077508849,ishaansharma@gmail.com,Ahmedabad,Semi-Urban,78.89,80.6,282.59,479.13,B.Tech Mechanical
Shaurya Wilson,20,Female,914867649797,shauryawilson@gmail.com,Ahmedabad,Urban,89.99,75.07,100.0,100.0,BCA
Vihaan Johnson,18,Male,916736140476,vihaanjohnson@gmail.com,Delhi,Semi-Urban,64.43,68.24,280.43,434.89,B.Tech Civil
Shaurya Taylor,18,Female,910070010222,shauryataylor@gmail.com,Delhi,Urban,98.11,,,100.0,BCA
Atharv Singh,17,Female,919572520235,atharvsingh@gmail.com,Sydney,Semi-Urban,60.31,73.1,122.33,549.7,B.Sc Data Science
Sai Taylor,17,Male,919396871867,saitaylor@gmail.com,Delhi,Rural,50.39,,162.24,,B.Tech Mechanical
Atharv Khan,18,Female,919446431029,atharvkhan@gmail.com,Delhi,Semi-Urban,100.0,74.72999999999999,100.0,100.0,BCA
Shaurya Khan,19,Male,914249501528,shauryakhan@gmail.com,Mumbai,Urban,100.0,87.84,100.0,100.0,BCA
Shaurya Miller,18,Male,919830922133,shauryamiller@gmail.com,Toronto,Urban,62.65,66.1,,,B.Tech Civil
Arjun Brown,17,Male,912854997263,arjunbrown@gmail.com,Delhi,Semi-Urban,66.75,75.6,101.58,573.93,B.Sc Data Science
Sai Johnson,17,Male,916383647224,saijohnson@gmail.com,New York,Rural,88.56,95.82,119.46,415.35,B.Sc Data Science
Vihaan Khan,17,Female,916670533085,vihaankhan@gmail.com,Delhi,Semi-Urban,76.78,77.15,177.09,558.93,B.Tech Civil
Aarav Wilson,17,Female,914736015791,aaravwilson@gmail.com,Delhi,Rural,51.86,85.1,108.77,558.79,B.Sc Data Science
Atharv Wilson,18,Male,914873045194,atharvwilson@gmail.com,New York,Rural,86.96,70.49,201.96,731.61,B.Tech CS
Aarav Miller,17,Female,914260880501,aaravmiller@gmail.com,Toronto,Urban,91.49,70.75,160.2,526.88,B.Tech Civil
Krishna Miller,18,Female,915106838292,krishnamiller@gmail.com,Delhi,Rural,57.29,79.11,299.99,551.08,B.Tech ECE
Shaurya Johnson,19,Female,918298493306,shauryajohnson@gmail.com,Toronto,Rural,66.41,75.44,199.77,689.71,B.Tech ECE
Sai Brown,20,Male,915033746983,saibrown@gmail.com,Hyderabad,Urban,69.82,82.23,233.17,408.9,B.Tech Civil
Ishaan Singh,20,Female,917666091919,ishaansingh@gmail.com,Hyderabad,Rural,,91.93,125.24,,B.Tech Civil
Shaurya Brown,20,Male,914747338914,shauryabrown@gmail.com,Toronto,Semi-Urban,87.03,66.98,152.23,519.69,B.Sc Data Science
Atharv Wilson,18,Female,915561927671,atharvwilson@gmail.com,Hyderabad,Rural,,84.22,,702.1,B.Tech Mechanical
Ishaan Johnson,20,Male,910954728740,ishaanjohnson@gmail.com,Toronto,Rural,99.01,93.6,149.14,449.56,B.Tech Civil
Vihaan Miller,20,Male,910789493506,vihaanmiller@gmail.com,Delhi,Rural,72.66,96.99,279.25,453.53,B.Tech Mechanical
Sai Taylor,20,Male,914991251341,saitaylor@gmail.com,Bengaluru,Rural,,75.54,183.65,,B.Tech Civil
Aarav Brown,17,Female,913987888999,aaravbrown@gmail.com,Ahmedabad,Semi-Urban,,,277.99,706.97,B.Tech CS
Aarav Sharma,18,Male,919633472727,aaravsharma@gmail.com,Ahmedabad,Urban,69.93,100.0,100.0,100.0,BCA
Krishna Singh,19,Male,913479852948,krishnasingh@gmail.com,Ahmedabad,Rural,72.76,64.33,123.65,679.66,B.Tech Civil
Ishaan Verma,20,Female,913894778540,ishaanverma@gmail.com,New York,Urban,80.76,77.22531926406927,120.65,779.9,B.Tech ECE
Aditya Wilson,18,Female,914503893476,adityawilson@gmail.com,Ahmedabad,Semi-Urban,79.23,59.17,279.74,460.5,B.Tech Mechanical
Krishna Johnson,20,Male,917137998708,krishnajohnson@gmail.com,Mumbai,Semi-Urban,100.0,84.64,100.0,100.0,BCA
Vihaan Patel,20,Male,914233810608,vihaanpatel@gmail.com,Dubai,Urban,86.83,74.55,107.63,460.44,B.Sc IT
Vivaan Singh,17,Female,912158254514,vivaansingh@gmail.com,Hyderabad,Rural,77.56548998375746,100.0,100.0,100.0,BCA
Aditya Johnson,17,Female,918505423573,adityajohnson@gmail.com,Hyderabad,Urban,57.75,64.79,257.62,603.08,B.Tech Mechanical
Arjun Miller,18,Male,918274485708,arjunmiller@gmail.com,London,Semi-Urban,59.28,50.94,271.37,710.41,B.Tech CS
Krishna Sharma,20,Male,916737788921,krishnasharma@gmail.com,Ahmedabad,Urban,77.17,51.97,191.83,722.53,B.Tech ECE
Shaurya Verma,19,Male,911287452719,shauryaverma@gmail.com,Hyderabad,Rural,,75.5,,517.83,B.Tech Civil
Krishna Taylor,18,Male,910804533430,krishnataylor@gmail.com,Ahmedabad,Semi-Urban,90.89,58.7,257.51,739.46,B.Tech CS
Vihaan Miller,18,Male,916042942992,vihaanmiller@gmail.com,Delhi,Urban,80.71,58.75,189.38,782.8,B.Tech CS
Ishaan Johnson,19,Female,917772522872,ishaanjohnson@gmail.com,Sydney,Semi-Urban,97.86,76.2,267.81,429.73,B.Tech Civil
Krishna Sharma,18,Female,918236788387,krishnasharma@gmail.com,Hyderabad,Rural,100.0,100.0,100.0,100.0,BCA
Aarav Singh,18,Male,912758881185,aaravsingh@gmail.com,Dubai,,65.21000000000001,77.93,100.0,100.0,BCA
Aarav Taylor,20,Female,919806603920,aaravtaylor@gmail.com,New York,Urban,64.61,70.61,105.67,582.65,B.Sc Data Science
Vihaan Sharma,20,Male,915206409191,vihaansharma@gmail.com,London,Rural,77.56548998375746,65.89,299.21,643.66,B.Tech CS
James Verma,18,Female,539337536143,jamesverma@gmail.com,Dubai,Semi-Urban,77.56548998375746,60.9,271.15,604.84,B.Tech ECE
Vivaan Khan,20,Male,910843800639,vivaankhan@gmail.com,Dubai,Urban,74.7,56.9,,,B.Tech Mechanical
Atharv Patel,17,Male,913370457408,atharvpatel@gmail.com,New York,Urban,96.2,96.85,241.18,640.77,B.Tech CS
Shaurya Wilson,18,Female,918492615283,shauryawilson@gmail.com,Mumbai,Rural,99.57,96.48,182.34701123021952,100.0,BCA
Aditya Verma,20,Male,918288291454,adityaverma@gmail.com,New York,Rural,100.0,77.22531926406927,100.0,100.0,BCA
Ishaan Singh,17,Female,912426103324,ishaansingh@gmail.com,Sydney,,84.61,73.39,100.0,100.0,BCA
Aarav Khan,17,Female,917997065811,aaravkhan@gmail.com,Bengaluru,Rural,,66.92,182.34701123021952,100.0,BCA
Aarav Verma,20,Female,917286174685,aaravverma@gmail.com,Dubai,Urban,69.74000000000001,100.0,100.0,100.0,BCA
Aarav Miller,17,Male,912810003266,aaravmiller@gmail.com,London,Urban,90.32,67.65,100.0,100.0,BCA
Vivaan Brown,18,Female,918221756269,vivaanbrown@gmail.com,Dubai,Rural,97.73,51.52,138.71,508.4,B.Sc Data Science
Shaurya Patel,18,Female,919953420566,shauryapatel@gmail.com,Sydney,Urban,98.11,61.21,171.69,730.7,B.Tech ECE
Atharv Brown,18,Female,914760751210,atharvbrown@gmail.com,Delhi,Semi-Urban,64.55,69.47,232.66,551.88,B.Tech Civil
Aditya Brown,18,Female,910547551569,adityabrown@gmail.com,Sydney,Urban,99.92,57.83,221.81,631.35,B.Tech ECE
Ishaan Brown,19,Female,913780534251,ishaanbrown@gmail.com,Dubai,Urban,92.75,,,738.67,B.Tech CS
Ishaan Sharma,17,Female,919633022517,ishaansharma@gmail.com,London,Rural,71.85,76.63,222.23,447.23,B.Tech Civil
Arjun Sharma,20,Female,917955156239,arjunsharma@gmail.com,Bengaluru,Semi-Urban,77.56548998375746,,100.0,100.0,BCA
Vihaan Verma,20,Male,915055326799,vihaanverma@gmail.com,Bengaluru,Rural,93.1,82.73,161.05,709.61,B.Tech ECE
Vivaan Johnson,20,Female,918934576494,vivaanjohnson@gmail.com,Dubai,Urban,69.32,77.22531926406927,245.73,653.11,B.Tech ECE
Aditya Miller,18,Female,910996567895,adityamiller@gmail.com,London,Rural,94.88,67.75,294.48,777.66,B.Tech CS
Shaurya Miller,19,Male,918294419147,shauryamiller@gmail.com,Dubai,Semi-Urban,52.39,68.08,161.53,451.26,B.Sc IT
Shaurya Verma,18,Male,914749847460,shauryaverma@gmail.com,Ahmedabad,Urban,79.19,96.77,291.68,592.71,B.Tech CS
Arjun Verma,20,Male,915503930380,arjunverma@gmail.com,Hyderabad,Rural,63.47,55.27,284.32,576.41,B.Tech Mechanical
Atharv Johnson,17,Male,914093362724,atharvjohnson@gmail.com,Ahmedabad,Rural,91.45,59.28,171.88,503.6,B.Sc Data Science
Krishna Miller,17,Male,917087027282,krishnamiller@gmail.com,Mumbai,,66.66,100.0,100.0,100.0,BCA
Arjun Khan,19,Male,910407751306,arjunkhan@gmail.com,Delhi,Urban,79.77,57.66,277.89,455.97,B.Tech Civil
Aarav Johnson,20,Female,916924343548,aaravjohnson@gmail.com,London,Semi-Urban,66.5,99.84,137.33,440.85,B.Sc Data Science
Sai Miller,18,Male,914631245347,saimiller@gmail.com,Ahmedabad,Semi-Urban,85.17,98.53,273.42,779.65,B.Tech CS
Shaurya Miller,18,Female,919679262552,shauryamiller@gmail.com,New York,Rural,71.05,67.47,242.28,766.26,B.Tech CS
Sai Khan,20,Male,916568154098,saikhan@gmail.com,New York,Semi-Urban,,72.51,194.49,653.13,B.Tech Mechanical
Arjun Singh,18,Male,911803420687,arjunsingh@gmail.com,Bengaluru,Urban,96.22,51.37,266.92,571.62,B.Tech ECE
Sai Brown,19,Female,914312903826,saibrown@gmail.com,New York,,73.65,92.34,100.0,100.0,BCA
Atharv Sharma,17,Female,917122302530,atharvsharma@gmail.com,Bengaluru,Urban,90.24,77.22531926406927,209.34,797.49,B.Tech CS
Aditya Miller,18,Female,914654763169,adityamiller@gmail.com,Delhi,Rural,68.53,94.97,290.43,421.42,B.Tech Mechanical
Aarav Singh,18,Female,919749354921,aaravsingh@gmail.com,Mumbai,Urban,92.54,89.98,200.99,750.92,B.Tech CS
Atharv Sharma,17,Male,910138859787,atharvsharma@gmail.com,Hyderabad,Semi-Urban,69.36,77.22531926406927,100.0,100.0,BCA
Arjun Sharma,19,Male,914142656261,arjunsharma@gmail.com,London,Urban,81.82,77.22531926406927,100.0,100.0,BCA
Aarav Wilson,18,Male,911489678082,aaravwilson@gmail.com,London,Semi-Urban,63.75,60.4,126.36,448.99,B.Sc IT
Atharv Johnson,18,Male,911040164818,atharvjohnson@gmail.com,Sydney,Semi-Urban,50.25,81.28,151.73,742.78,B.Tech Mechanical
Arjun Johnson,17,Male,910002420127,arjunjohnson@gmail.com,Toronto,Rural,89.6,69.46,179.57,752.12,B.Tech CS
Vivaan Brown,20,Male,912783769389,vivaanbrown@gmail.com,Sydney,Urban,62.12,63.31,186.01,673.9,B.Tech Mechanical
Sai Verma,18,Female,911368405416,saiverma@gmail.com,New York,Urban,77.56548998375746,90.43,100.0,100.0,BCA
Ishaan Verma,18,Male,912667941908,ishaanverma@gmail.com,Toronto,Semi-Urban,,,143.61,703.97,B.Tech Mechanical
Vivaan Khan,20,Female,913037183764,vivaankhan@gmail.com,New York,Urban,99.46,67.11,182.34701123021952,100.0,BCA
Aditya Singh,19,Female,914759711315,adityasingh@gmail.com,London,Semi-Urban,77.56548998375746,,100.0,,BCA
Arjun Taylor,17,Male,916355373096,arjuntaylor@gmail.com,Ahmedabad,Semi-Urban,71.33,59.32,192.88,431.63,B.Sc Data Science
Aditya Verma,18,Female,919157376710,adityaverma@gmail.com,New York,Urban,78.24,84.12,197.46,576.83,B.Tech Mechanical
Vivaan Johnson,19,Female,911462704828,vivaanjohnson@gmail.com,Delhi,Semi-Urban,64.92,81.95,221.79,461.14,B.Tech Civil
Sai Verma,17,Male,911995009872,saiverma@gmail.com,London,Rural,100.0,76.17,100.0,100.0,BCA
Vivaan Taylor,20,Female,918711216636,vivaantaylor@gmail.com,New York,Urban,65.86,99.82,197.26,680.92,B.Tech ECE
Krishna Verma,19,Female,911590112502,krishnaverma@gmail.com,Hyderabad,Urban,70.77,50.08,150.86,421.08,B.Sc IT
Ishaan Patel,18,Male,917043030548,ishaanpatel@gmail.com,London,Semi-Urban,73.67,51.83,229.38,514.44,B.Tech Civil
Sai Brown,19,Male,913953767242,saibrown@gmail.com,Hyderabad,Semi-Urban,78.07,63.14,216.92,759.13,B.Tech CS
Atharv Taylor,19,Female,919211857235,atharvtaylor@gmail.com,Mumbai,Urban,80.94,73.03,198.87,628.38,B.Tech Mechanical
Vivaan Khan,18,Male,915707139848,vivaankhan@gmail.com,Bengaluru,Urban,95.36,76.88,182.34701123021952,100.0,BCA
Shaurya Brown,17,Male,911581995604,shauryabrown@gmail.com,London,Rural,88.96,86.24,211.91,797.09,B.Tech CS
Aarav Singh,20,Female,916084695449,aaravsingh@gmail.com,New York,Rural,87.22,95.25,,,B.Tech CS
Krishna Johnson,20,Female,910885506943,krishnajohnson@gmail.com,Dubai,Semi-Urban,95.79,63.3,121.23,714.34,B.Tech Civil
Sai Verma,20,Male,915781164466,saiverma@gmail.com,Sydney,Rural,90.3,55.32,138.01,673.85,B.Tech Civil
Aditya Patel,19,Male,919979703108,adityapatel@gmail.com,Mumbai,Semi-Urban,60.61,77.94,,618.43,B.Sc Data Science
Arjun Verma,20,Male,913421926221,arjunverma@gmail.com,Hyderabad,Urban,50.86,84.51,109.09,465.24,B.Sc IT
Shaurya Brown,19,Female,910738546052,shauryabrown@gmail.com,Delhi,Rural,99.75,96.94,127.06,499.42,B.Tech Civil
Aarav Brown,19,Female,918053160227,aaravbrown@gmail.com,Ahmedabad,Urban,62.4,60.66,188.0,670.07,B.Tech Mechanical
Vivaan Singh,19,Male,914766072832,vivaansingh@gmail.com,London,Semi-Urban,82.75,95.7,,,BCA
Krishna Brown,19,Female,916760564204,krishnabrown@gmail.com,New York,Rural,93.26,74.5,188.62,615.01,B.Tech Mechanical
Atharv Wilson,17,Male,912683156242,atharvwilson@gmail.com,Mumbai,Rural,52.43,81.95,295.47,711.22,B.Tech CS
Krishna Brown,17,Male,912358418029,krishnabrown@gmail.com,New York,Rural,,79.47,,587.36,B.Tech CS
Aditya Singh,19,Male,911688392114,adityasingh@gmail.com,Hyderabad,Semi-Urban,68.87,77.52,205.62,493.48,B.Tech Civil
Vivaan Johnson,19,Female,916898593213,vivaanjohnson@gmail.com,New York,Semi-Urban,70.6,75.0,141.93,727.49,B.Tech Mechanical
Arjun Verma,17,Male,915562412667,arjunverma@gmail.com,London,Semi-Urban,75.37,89.3,286.72,730.96,B.Tech CS
Vihaan Verma,17,Female,914760310777,vihaanverma@gmail.com,Hyderabad,Semi-Urban,78.37,74.78999999999999,100.0,100.0,BCA
